parcel_id,parcel_status,has_displacement,pnt_id,pnt_gid,pnt_lat,pnt_lon,centroid_lat,centroid_lon,geometry_type,is_multipart,part_count,exterior_vertex_count,interior_ring_count,knmi_id,knmi_name,soilcode,soil_descr,ghg_mean,glg_mean,region,peilgebied,cropcode,area,perimeter,meteo_id,model_soilcode,vI,var_vI,T,dof,sigmasq_test,xP,xE,xI,tau
10236,moving,True,10236.0,7352.0,51.95353106072768,4.727478048570336,51.95353105360643,4.727478060127729,Polygon,False,1,83,0,348,Cabauw mast,hVc,"Koopveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen",17.0,66.0,Vlist,7480.0,265.0,13862.771976470947,693.736825369258,348.0,hVc,-6.446364672849778,0.029571953250002555,312.9281523562108,425.0,0.7363015349557901,0.0959648486,0.273577209338,-0.025230390109,69.0
10237,moving,True,10237.0,7352.0,51.94981805717063,4.7284828918920505,51.94981803336858,4.728482920896429,Polygon,False,1,78,0,348,Cabauw mast,hVc,"Koopveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen",17.0,66.0,Vlist,7480.0,265.0,16134.167766571045,1006.5178491182871,348.0,hVc,-4.770443049246957,0.026246231375000907,277.0184906623831,500.0,0.5540369813247662,0.09573951298,0.12801124713800002,-0.025124124025,70.0
10238,moving,True,10238.0,7352.0,51.95334044452888,4.726309525613744,51.95334043196287,4.726309542089094,Polygon,False,1,127,0,348,Cabauw mast,hVc,"Koopveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen",17.0,66.0,Vlist,7480.0,265.0,13225.959190368654,790.9540475194814,348.0,hVc,-6.50329807906821,0.028259280000001833,261.0061371178569,498.0,0.5241087090720018,0.078242493762,0.21400571869899998,-0.025806738409,66.0
10245,moving,True,10245.0,7422.0,51.93708647189631,4.799326855822808,51.937086445703756,4.799326853608982,Polygon,False,1,40,0,348,Cabauw mast,kVb,Waardveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,25461.0,265.0,13239.57805633545,960.3575100204959,348.0,kVb,-7.099659152295363,0.025288854000001686,310.96347302636184,435.0,0.7148585586812916,0.078357453282,0.228195724116,-0.027665500837,67.0
10330,blank_no_displacement,False,,,,,51.95391576241403,4.852069112455962,Polygon,False,1,12,0,348,Cabauw mast,Rv01C,Kalkloze drechtvaaggronden; profielverloop 1,44.0,96.0,Vlist,5325.0,265.0,12232.684925079346,477.02377166594374,,,,,,,,,,,
10332,blank_no_displacement,False,,,,,51.95263328571864,4.852209399243596,Polygon,False,1,13,0,348,Cabauw mast,Rv01C,Kalkloze drechtvaaggronden; profielverloop 1,44.0,96.0,Vlist,5325.0,265.0,9077.971405029297,431.24391830631913,,,,,,,,,,,
10337,blank_no_displacement,False,,,,,52.00197423426575,4.759068017869468,Polygon,False,1,47,0,348,Cabauw mast,Rd90A,Kalkhoudende ooivaaggronden; zware zavel en lichte klei,74.0,136.0,Vlist,4023.0,799.0,31860.108558654785,1256.2481525370913,,,,,,,,,,,
10369,moving,True,10369.0,6574.0,52.01066633959097,4.818438391091772,52.01066634186684,4.818438396742466,Polygon,False,1,84,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),20.0,67.0,Vlist,4590.0,265.0,10565.086524963379,773.3351862532593,348.0,pVb,-6.734354929915543,0.015194404000000765,433.40030277813645,599.0,0.7235397375261042,0.07324105503200001,0.171863693622,-0.027642298327,71.0
10373,moving,True,10373.0,6574.0,52.01317796902934,4.823902698572453,52.01317796239755,4.823902730856199,Polygon,False,1,72,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),30.285714285714285,79.42857142857143,Vlist,4590.0,265.0,17598.030616760254,1006.6542692713657,348.0,pVb,-7.069572741701704,0.01842126400000106,452.8903586766667,562.0,0.8058547307413999,0.06701169620099999,0.229365238855,-0.026354418422,70.0
10383,moving,True,10383.0,6574.0,52.00971527194526,4.828460262745178,52.00971526165922,4.828460274586835,Polygon,False,1,27,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),20.0,67.0,Vlist,4590.0,265.0,21030.945487976074,782.9877598339772,348.0,pVb,-6.654781636869595,0.020885755078126383,311.9687256718893,493.0,0.6327966037969357,0.080615895205,0.18821479665600002,-0.027513309093,69.0
10387,blank_no_displacement,False,,,,,52.013030163032525,4.818320150037605,Polygon,False,1,19,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),26.611073415455493,74.98838037700872,Vlist,4590.0,265.0,2275.9264945983887,205.112311880428,,,,,,,,,,,
10388,blank_no_displacement,False,,,,,52.01627748404069,4.825891289009849,Polygon,False,1,77,0,348,Cabauw mast,Rn95A/Rd90A,"Kalkhoudende poldervaaggronden; zware zavel en lichte klei, profielverloop 5",71.0,139.0,Vlist,6805.0,331.0,18575.750617980957,716.0162124879281,,,,,,,,,,,
10412,moving,True,10412.0,7352.0,51.954853347768726,4.730457107023665,51.95485334131413,4.730457119023091,Polygon,False,1,20,0,348,Cabauw mast,hVc,"Koopveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen",17.0,66.0,Vlist,7480.0,265.0,12079.500621795654,671.7262583902084,348.0,hVc,-5.271934809578307,0.03288403320312727,342.4461965029818,590.0,0.5804172822084438,0.073218491548,0.114159139172,-0.025954140601,68.0
10414,moving,True,10414.0,6415.0,51.95487761992538,4.742109483302449,51.95487762242416,4.742109486119613,Polygon,False,1,22,0,348,Cabauw mast,hVc,"Koopveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen",17.0,66.0,Vlist,7480.0,265.0,3012.965831756592,275.53789555742105,348.0,hVc,-5.631576689593795,0.051823242187500826,168.57755438678174,410.0,0.4111647667970286,0.129300206301,0.230398149487,-0.025744350581,69.0
10416,moving,True,10416.0,6415.0,51.95525953740751,4.7396453334413895,51.95525953082811,4.739645349373765,Polygon,False,1,50,0,348,Cabauw mast,hVc,"Koopveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen",17.0,66.0,Vlist,7480.0,265.0,11096.281688690186,799.081949228731,348.0,hVc,-6.083945069207373,0.0575683590624976,144.56538698215198,430.0,0.3361985743770976,0.07529047180699999,0.145527486356,-0.02665474291,71.0
10433,moving,True,10433.0,6593.0,51.94088004261223,4.815405212951721,51.940880031495624,4.8154052195075145,Polygon,False,1,42,0,348,Cabauw mast,Rv01C,Kalkloze drechtvaaggronden; profielverloop 1,21.0,59.0,Vlist,25461.0,265.0,13649.571212768555,1028.8634306041017,348.0,Rv01C,-7.466075383726325,0.026534663749996974,358.6389037747083,502.0,0.7144201270412516,0.074315169555,0.238901386844,-0.028253833051000002,70.0
10445,blank_no_displacement,False,,,,,51.96444165582869,4.819022757735048,Polygon,False,1,79,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,25461.0,266.0,15190.978355407715,1499.1945298110527,,,,,,,,,,,
10451,moving,True,10451.0,6593.0,51.941012224557994,4.816776568816685,51.941012214977874,4.816776574840459,Polygon,False,1,28,0,348,Cabauw mast,Rv01C,Kalkloze drechtvaaggronden; profielverloop 1,21.0,59.0,Vlist,25461.0,265.0,12037.674110412598,691.9763091815414,348.0,Rv01C,-5.890313028533301,0.025287670953123294,319.9039555492209,489.0,0.6542003180965662,0.096659707693,0.159498628636,-0.028233974972,70.0
10462,moving,True,10462.0,6188.0,51.9545010629378,4.8111530009599655,51.954500996611806,4.811153028411315,Polygon,False,1,51,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,25461.0,265.0,33081.470764160156,1471.0058494987525,348.0,pVb,-6.620804701634785,0.014508233999999056,378.8398057227547,600.0,0.6313996762045911,0.072880800264,0.188018778062,-0.026589577115,69.0
10464,moving,True,10464.0,7747.0,51.953287871235595,4.807232434022521,51.95328779305942,4.8072324684496,Polygon,False,1,79,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,25461.0,265.0,16560.852508544922,1578.4549595063274,348.0,hVb,-5.5777532267409065,0.01341006510937575,395.0497667383414,531.0,0.7439731953641081,0.071888304691,0.120555262981,-0.026513384322,68.0
10472,blank_no_displacement,False,,,,,51.94164930005737,4.820760608682865,Polygon,False,1,27,0,348,Cabauw mast,Rv01C,Kalkloze drechtvaaggronden; profielverloop 1,21.0,59.0,Vlist,25461.0,259.0,9223.878448486328,549.9523332722315,,,,,,,,,,,
10474,moving,True,10474.0,6593.0,51.94476986070296,4.816741210262434,51.944769825443515,4.816741225813531,Polygon,False,1,34,0,348,Cabauw mast,Rv01C,Kalkloze drechtvaaggronden; profielverloop 1,21.0,59.0,Vlist,25461.0,265.0,17030.709980010986,1110.5700041766095,348.0,Rv01C,-7.025759533632114,0.026813976000000867,271.7246448107741,471.0,0.5769100739082254,0.067224238079,0.216106135832,-0.026587547904,70.0
10476,moving,True,10476.0,6593.0,51.94142238642312,4.814712528280293,51.94142235401468,4.814712542580704,Polygon,False,1,54,0,348,Cabauw mast,Rv01C,Kalkloze drechtvaaggronden; profielverloop 1,21.0,59.0,Vlist,25461.0,265.0,13699.874908447266,1070.747032953044,348.0,Rv01C,-7.081784241696257,0.0408991997968722,286.7778609660261,466.0,0.6154031351202276,0.07314563706800001,0.18447635178699998,-0.028598825812,70.0
10485,moving,True,10485.0,7480.0,51.95186380390363,4.817188931331687,51.951863793076804,4.81718893943004,Polygon,False,1,94,0,348,Cabauw mast,kVb,Waardveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,25461.0,265.0,14566.966125488281,998.8219690646647,348.0,kVb,-5.9453604665923585,0.010643906249999495,476.23512687833284,680.0,0.7003457748210777,0.072715632277,0.129108712321,-0.027334990651,68.0
10486,moving,True,10486.0,7747.0,51.95336897470253,4.807598004389759,51.95336889939165,4.807598037432263,Polygon,False,1,61,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,25461.0,265.0,16509.874156951904,1563.51565604167,348.0,hVb,-5.498980111721126,0.01313919984374941,501.52636851559953,545.0,0.9202318688359624,0.070614792499,0.112831154601,-0.02671028591,70.0
10644,blank_no_displacement,False,,,,,52.00311142741179,4.824018418722669,Polygon,False,1,104,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),20.0,67.0,Vlist,4590.0,266.0,31500.855278015137,2223.8393974683813,,,,,,,,,,,
10645,blank_no_displacement,False,,,,,52.002058368661935,4.826319510620096,Polygon,False,1,37,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),20.0,67.0,Vlist,4590.0,259.0,16531.297424316406,638.7359823149301,,,,,,,,,,,
10653,blank_no_displacement,False,,,,,51.95790657687725,4.820535715780641,Polygon,False,1,47,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,25461.0,331.0,14756.91552734375,1452.125000884834,,,,,,,,,,,
10657,moving,True,10657.0,7747.0,51.9500177163273,4.795786148899595,51.95001758266549,4.795786202086693,Polygon,False,1,72,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,25461.0,265.0,23143.825901031494,2031.2911185988335,348.0,hVb,-6.549222633976165,0.01205492560937561,413.34516966078274,570.0,0.7251669643171627,0.069160024244,0.17183316932499998,-0.026609335231999997,68.0
10734,blank_no_displacement,False,,,,,51.9934698516929,4.783658160811667,MultiPolygon,True,2,34,0,348,Cabauw mast,Rv01C,Kalkloze drechtvaaggronden; profielverloop 1,28.0,68.0,Vlist,6164.0,331.0,3676.921802520752,355.86549772504077,,,,,,,,,,,
10881,moving,True,10881.0,5778.0,52.00697560922026,4.8426179663446955,52.00697553187427,4.842618043393132,Polygon,False,1,58,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),20.0,67.0,Vlist,4590.0,265.0,31155.753787994385,1658.305527697379,348.0,pVb,-9.276432154031491,0.09286417968750478,77.47588920172784,503.0,0.15402761272709312,0.07876167536199999,0.190328117949,-0.038057157555000005,68.0
10926,moving,True,10926.0,6250.0,51.964578361104536,4.858412250963825,51.9645783838945,4.858412207839515,Polygon,False,1,29,0,348,Cabauw mast,kVb,Waardveengronden op bosveen (of eutroof broekveen),20.0,67.0,Vlist,6304.0,265.0,12437.797714233398,1145.0430207822358,348.0,kVb,-6.44962662854663,0.012470274046874534,529.1547907309149,532.0,0.9946518622761559,0.070801526386,0.156632850309,-0.027028293886,70.0
